path;fail rate in %;bot share in %
initialize,begin editing,check,check,check,insert document,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;60.0
initialize,begin editing,insert document,save,check,finish editing,save,check,check,finish editing,save,finish editing;0.0;16.67
initialize,begin editing,insert document,save,check,check,check,finish editing,save,finish editing,save,save,finish editing;0.0;15.38
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing;0.0;70.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,save,save,check,finish editing,save,check,finish editing,save,check,finish editing;0.0;43.75
initialize,begin editing,save,insert document,save,save,finish editing,insert document,save,finish editing,save,finish editing;0.0;0.0
initialize,begin editing,save,insert document,save,check,check,finish editing,save,finish editing;0.0;20.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing;0.0;51.85
initialize,begin editing,check,insert document,save,save,check,check,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;63.33
initialize,begin editing,check,check,check,check,insert document,save,check,finish editing,save,finish editing;0.0;16.67
initialize,begin editing,insert document,save,check,finish editing,check,finish editing;0.0;25.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,check,finish editing,insert document,save,check,finish editing;0.0;63.64
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing;0.0;95.45
initialize,begin editing,insert document,save,check,save,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;11.76
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,insert document,save,check,finish editing;0.0;73.68
initialize,begin editing,check,insert document,save,save,save,check,check,check,finish editing,save,check,check,finish editing,save,check,finish editing,save,finish editing;0.0;10.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;86.96
initialize,begin editing,save,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;54.55
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing;0.0;77.78
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,save,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing;0.0;72.41
